Value,Year announced,Month announced,Implementer,Implementer ISO
705,2022,1,China,CHN
668,2023,1,China,CHN
660,2021,1,China,CHN
625,2020,1,China,CHN
588,2020,4,United States of America,USA
549,2019,1,China,CHN
468,2018,1,China,CHN
465,2016,1,China,CHN
417,2015,1,China,CHN
400,2017,1,China,CHN
374,2022,9,United States of America,USA
354,2014,1,China,CHN
346,2021,6,United States of America,USA
317,2013,1,China,CHN
276,2012,1,China,CHN
226,2012,12,Brazil,BRA
219,2011,1,China,CHN
187,2020,12,United States of America,USA
171,2009,12,Brazil,BRA
168,2014,12,Brazil,BRA
167,2011,3,Brazil,BRA
163,2010,1,China,CHN
160,2009,6,Brazil,BRA
159,2013,12,Brazil,BRA
151,2011,12,Brazil,BRA
146,2020,9,United States of America,USA
139,2010,6,Brazil,BRA
125,2022,12,Brazil,BRA
123,2010,12,Brazil,BRA
121,2015,12,Brazil,BRA
114,2009,1,China,CHN
110,2013,6,Brazil,BRA
109,2020,8,United States of America,USA
106,2009,12,United States of America,USA
105,2010,1,United States of America,USA
104,2022,8,Brazil,BRA
104,2011,9,United States of America,USA
102,2012,10,Brazil,BRA
102,2019,12,Brazil,BRA
102,2012,10,United States of America,USA
102,2020,5,United States of America,USA
101,2024,6,United States of America,USA
101,2020,7,United States of America,USA
101,2021,11,United States of America,USA
99,2018,12,United States of America,USA
98,2020,6,United States of America,USA
97,2011,11,Brazil,BRA
97,2024,10,United States of America,USA
97,2022,8,United States of America,USA
95,2012,9,United States of America,USA
94,2008,12,Brazil,BRA
92,2009,3,Brazil,BRA
89,2009,11,Brazil,BRA
87,2011,10,Brazil,BRA
86,2021,9,United States of America,USA
86,2023,12,United States of America,USA
86,2021,4,United States of America,USA
85,2023,12,Germany,DEU
84,2024,5,United States of America,USA
84,2010,4,United States of America,USA
83,2023,6,United States of America,USA
83,2010,7,United States of America,USA
82,2023,12,France,FRA
81,2024,3,United States of America,USA
81,2011,10,United States of America,USA
81,2023,11,United States of America,USA
81,2018,12,Brazil,BRA
81,2023,5,United States of America,USA
80,2023,3,Canada,CAN
80,2021,3,United States of America,USA
80,2010,10,United States of America,USA
79,2021,2,United States of America,USA
79,2010,9,United States of America,USA
77,2021,11,Brazil,BRA
76,2014,6,Brazil,BRA
74,2022,7,Brazil,BRA
74,2020,10,United States of America,USA
72,2009,10,United States of America,USA
71,2023,7,Brazil,BRA
71,2015,6,United States of America,USA
71,2022,10,United States of America,USA
71,2024,2,United States of America,USA
71,2017,7,Brazil,BRA
71,2024,12,United States of America,USA
70,2021,12,United States of America,USA
70,2023,8,United States of America,USA
70,2014,10,United States of America,USA
70,2012,11,Brazil,BRA
69,2022,6,United States of America,USA
69,2012,9,Brazil,BRA
69,2020,12,Germany,DEU
69,2022,12,United States of America,USA
68,2015,6,Brazil,BRA
68,2013,10,United States of America,USA
67,2024,9,United States of America,USA
67,2015,9,United States of America,USA
67,2023,9,United States of America,USA
67,2012,7,Brazil,BRA
66,2010,12,United States of America,USA
66,2014,9,United States of America,USA
65,2014,12,United States of America,USA
65,2017,3,Brazil,BRA
65,2021,12,Germany,DEU
64,2023,3,United States of America,USA
63,2022,2,United States of America,USA
62,2010,3,United States of America,USA
62,2023,2,United States of America,USA
62,2014,8,Brazil,BRA
62,2024,4,United States of America,USA
62,2012,8,United States of America,USA
62,2012,6,Brazil,BRA
62,2020,4,Canada,CAN
62,2009,7,United States of America,USA
61,2013,7,United States of America,USA
61,2022,12,Germany,DEU
61,2010,6,United States of America,USA
61,2009,4,United States of America,USA
61,2013,9,United States of America,USA
61,2023,8,Brazil,BRA
61,2014,9,Brazil,BRA
60,2019,11,United States of America,USA
60,2019,9,United States of America,USA
60,2020,3,United States of America,USA
60,2013,9,Brazil,BRA
59,2017,9,Brazil,BRA
59,2009,8,United States of America,USA
58,2012,7,United States of America,USA
58,2009,4,Brazil,BRA
58,2016,7,United States of America,USA
58,2013,5,Brazil,BRA
57,2012,8,Brazil,BRA
57,2023,12,China,CHN
57,2009,9,United States of America,USA
57,2021,1,United States of America,USA
56,2011,7,United States of America,USA
56,2018,1,United States of America,USA
56,2019,10,Brazil,BRA
56,2011,8,United States of America,USA
56,2021,4,Brazil,BRA
55,2022,7,United States of America,USA
55,2009,11,United States of America,USA
55,2014,4,Brazil,BRA
55,2021,8,United States of America,USA
54,2015,12,United States of America,USA
54,2009,8,Brazil,BRA
54,2021,7,Brazil,BRA
54,2013,8,Brazil,BRA
54,2025,4,United States of America,USA
53,2010,11,United States of America,USA
53,2009,10,Brazil,BRA
53,2011,7,Brazil,BRA
53,2025,2,United States of America,USA
53,2022,12,France,FRA
53,2022,12,Canada,CAN
53,2009,6,United States of America,USA
53,2024,5,China,CHN
52,2012,2,United States of America,USA
52,2011,9,Brazil,BRA
52,2023,1,United States of America,USA
52,2011,12,United States of America,USA
51,2020,12,Brazil,BRA
51,2022,6,Brazil,BRA
51,2016,12,Brazil,BRA
50,2014,6,United States of America,USA
50,2011,11,United States of America,USA
50,2021,11,Japan,JPN
50,2014,2,Brazil,BRA
50,2023,2,India,IND
50,2018,4,Brazil,BRA
50,2017,12,Canada,CAN
49,2017,6,United States of America,USA
49,2010,2,United States of America,USA
49,2013,10,Brazil,BRA
49,2016,9,United States of America,USA
49,2015,4,United States of America,USA
48,2024,7,United States of America,USA
48,2022,12,Japan,JPN
48,2025,1,United States of America,USA
48,2020,11,United States of America,USA
48,2020,4,Japan,JPN
47,2020,10,Brazil,BRA
47,2014,7,Brazil,BRA
47,2024,6,France,FRA
47,2012,12,United States of America,USA
47,2024,7,Germany,DEU
47,2023,4,United States of America,USA
47,2021,5,United States of America,USA
47,2024,3,India,IND
47,2012,11,United States of America,USA
46,2009,5,Brazil,BRA
46,2018,9,United States of America,USA
46,2024,6,Germany,DEU
46,2013,11,United States of America,USA
46,2012,5,United States of America,USA
46,2015,8,United States of America,USA
46,2018,10,Brazil,BRA
45,2022,3,United States of America,USA
45,2013,2,United States of America,USA
45,2012,1,United States of America,USA
45,2015,10,United States of America,USA
45,2019,12,Canada,CAN
45,2011,4,United States of America,USA
45,2019,7,United States of America,USA
44,2023,6,Germany,DEU
44,2019,5,United States of America,USA
44,2025,2,India,IND
44,2013,1,United States of America,USA
44,2023,9,China,CHN
44,2021,2,India,IND
44,2024,5,Germany,DEU
44,2014,12,Germany,DEU
43,2013,7,Brazil,BRA
43,2014,7,United States of America,USA
43,2021,12,Canada,CAN
43,2020,4,Brazil,BRA
43,2011,6,United States of America,USA
43,2012,6,United States of America,USA
43,2021,12,Japan,JPN
43,2024,2,India,IND
43,2021,7,Canada,CAN
43,2021,12,Brazil,BRA
43,2021,8,Brazil,BRA
42,2023,10,United States of America,USA
42,2024,7,China,CHN
42,2013,6,United States of America,USA
42,2018,6,Canada,CAN
41,2012,3,United States of America,USA
41,2014,2,United States of America,USA
41,2013,12,United States of America,USA
41,2010,9,Brazil,BRA
41,2021,3,Canada,CAN
41,2011,1,United States of America,USA
41,2024,12,Germany,DEU
41,2010,5,United States of America,USA
41,2019,3,United States of America,USA
41,2017,12,United States of America,USA
41,2014,3,Brazil,BRA
41,2013,4,United States of America,USA
41,2017,9,United States of America,USA
40,2022,3,Germany,DEU
40,2018,5,Canada,CAN
40,2024,10,Germany,DEU
40,2023,3,India,IND
40,2024,2,Brazil,BRA
40,2011,5,United States of America,USA
39,2020,9,Brazil,BRA
39,2018,5,United States of America,USA
39,2011,3,United States of America,USA
39,2012,12,Germany,DEU
39,2009,2,Brazil,BRA
39,2024,12,Brazil,BRA
39,2018,5,Brazil,BRA
39,2021,3,Germany,DEU
39,2022,7,Germany,DEU
39,2010,8,United States of America,USA
39,2022,3,Canada,CAN
38,2018,10,United States of America,USA
38,2013,3,United States of America,USA
38,2024,6,Brazil,BRA
38,2017,8,United States of America,USA
38,2014,11,United States of America,USA
38,2022,2,Canada,CAN
37,2024,7,Brazil,BRA
37,2022,6,Canada,CAN
37,2021,11,Germany,DEU
37,2009,9,Brazil,BRA
37,2023,7,United States of America,USA
37,2008,12,United States of America,USA
37,2015,3,United States of America,USA
37,2019,12,Germany,DEU
37,2014,8,United States of America,USA
37,2013,5,United States of America,USA
37,2016,12,United States of America,USA
37,2014,1,United States of America,USA
37,2021,1,Japan,JPN
37,2013,8,United States of America,USA
37,2020,12,France,FRA
37,2024,1,United States of America,USA
37,2013,12,Germany,DEU
36,2015,4,Brazil,BRA
36,2009,5,United States of America,USA
36,2023,11,Brazil,BRA
36,2019,4,United States of America,USA
36,2021,12,France,FRA
36,2010,8,Brazil,BRA
36,2024,8,Brazil,BRA
36,2021,6,Canada,CAN
36,2011,4,Brazil,BRA
35,2009,1,United States of America,USA
35,2020,4,Germany,DEU
35,2025,2,Germany,DEU
35,2017,12,Brazil,BRA
35,2014,10,Brazil,BRA
35,2024,3,China,CHN
35,2025,3,Canada,CAN
34,2015,2,France,FRA
34,2021,7,Germany,DEU
34,2019,7,Canada,CAN
34,2020,5,France,FRA
34,2016,12,Canada,CAN
34,2023,4,Canada,CAN
34,2023,2,China,CHN
33,2011,6,Brazil,BRA
33,2025,2,France,FRA
33,2016,11,United States of America,USA
33,2017,6,Canada,CAN
33,2021,6,Germany,DEU
33,2014,3,United States of America,USA
33,2022,11,Canada,CAN
33,2022,3,France,FRA
33,2022,3,Russia,RUS
33,2016,4,United States of America,USA
33,2017,10,Canada,CAN
33,2024,9,India,IND
33,2020,12,Canada,CAN
33,2020,6,Germany,DEU
33,2022,4,Canada,CAN
33,2018,3,United States of America,USA
32,2008,11,Brazil,BRA
32,2018,3,Canada,CAN
32,2020,11,Brazil,BRA
32,2014,5,United States of America,USA
32,2018,12,Germany,DEU
32,2023,2,Germany,DEU
32,2018,6,United States of America,USA
32,2016,12,Germany,DEU
32,2012,4,United States of America,USA
32,2019,12,United States of America,USA
31,2020,3,India,IND
31,2014,1,Brazil,BRA
31,2012,2,Brazil,BRA
31,2022,11,United States of America,USA
31,2013,11,Brazil,BRA
31,2015,10,Brazil,BRA
31,2015,7,United States of America,USA
31,2022,10,Germany,DEU
31,2009,3,United States of America,USA
31,2022,4,United States of America,USA
31,2023,2,France,FRA
31,2025,2,Canada,CAN
31,2024,10,Brazil,BRA
31,2020,7,Brazil,BRA
31,2024,8,United States of America,USA
31,2021,5,Germany,DEU
31,2008,12,Germany,DEU
31,2017,1,United States of America,USA
31,2009,1,Brazil,BRA
31,2022,6,Germany,DEU
31,2013,4,Brazil,BRA
30,2017,7,Canada,CAN
30,2021,6,Brazil,BRA
30,2023,6,France,FRA
30,2024,11,United States of America,USA
30,2023,7,Germany,DEU
30,2014,4,United States of America,USA
30,2020,10,France,FRA
30,2023,8,China,CHN
30,2017,4,United States of America,USA
30,2009,11,Germany,DEU
30,2018,2,United States of America,USA
30,2020,5,Canada,CAN
30,2009,2,United States of America,USA
30,2017,5,United States of America,USA
30,2022,1,United States of America,USA
30,2023,9,Brazil,BRA
30,2024,9,Brazil,BRA
30,2022,5,United States of America,USA
30,2014,5,Brazil,BRA
29,2009,12,Germany,DEU
29,2017,7,United States of America,USA
29,2022,2,Germany,DEU
29,2014,11,Germany,DEU
29,2021,7,France,FRA
29,2009,1,Germany,DEU
29,2024,2,Germany,DEU
28,2025,3,United States of America,USA
28,2023,5,Canada,CAN
28,2020,9,India,IND
28,2024,1,Brazil,BRA
28,2016,6,United States of America,USA
